Materials	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26	feature27
sample1_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0978	0.0000	0.4021	0.9940	0.6446	0.9410	1.0000
sample2_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0977	0.0000	0.7326	0.3203	0.0000	0.6256	0.1668	0.4178	0.3956	0.4762
sample3_group1	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0131	0.3605	0.3818	0.0000	0.3409	1.0000	0.9240	1.0000	0.9998
sample4_group1	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9997	0.0452	0.0046	0.3372	1.0000	0.0000	0.5931	0.9508	0.7487	0.9528	0.9999
sample5_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9998	0.0326	0.0022	0.4535	0.3480	0.0000	0.4955	0.6710	0.6186	0.8847	0.5369
sample6_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9995	0.0836	0.3083	0.7326	0.0070	0.3807	0.0000	0.7531	0.8431	0.7804	0.0944
sample7_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9991	0.1398	0.2167	0.7326	0.2156	0.3807	0.4229	0.1489	0.6494	0.4810	0.2820
sample8_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9998	0.0336	1.0000	0.7326	0.1530	0.2030	0.4801	0.7333	0.5198	0.7409	0.5742
sample9_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9998	0.0578	0.9532	0.7326	0.2643	0.2030	0.5728	0.1286	0.6322	0.4810	0.2762
sample10_group1	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9996	0.0972	0.2697	1.0000	0.2017	0.2208	0.6061	0.5613	0.4424	0.7115	0.3801
sample11_group1	0.0000	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9996	0.1245	0.3081	0.6395	0.3129	0.4543	0.4777	0.7655	0.5716	0.8506	0.5356
sample12_group1	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9985	0.2317	0.2549	0.6395	0.4214	0.3934	0.5278	0.8306	0.5677	0.8632	0.5005
sample13_group1	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9997	0.0541	0.2190	0.3605	0.2392	0.2995	0.3754	0.8878	0.7601	0.8824	0.4424
sample14_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9995	0.1161	0.4911	0.3605	0.3380	0.5051	0.6689	0.8573	0.5470	0.8747	0.2019
sample15_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9996	0.1245	0.2705	0.3605	0.4576	0.4365	0.7854	0.8512	0.4938	0.8756	0.1923
sample16_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9996	0.0504	0.2178	0.4070	0.1599	0.2284	0.4464	0.9043	0.7122	0.8606	0.6407
sample17_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.9997	0.0641	0.2146	0.6395	0.1460	0.1777	0.4018	0.8570	0.6793	0.8863	0.5900
sample18_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9998	0.1377	0.0180	0.7326	0.3129	0.0254	0.7211	0.1282	0.0791	0.3723	0.4913
sample19_group1	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9998	0.0946	0.1450	0.7326	0.3825	0.2284	0.6535	0.0840	0.3581	0.3357	0.4803
sample20_group1	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9998	0.0599	0.2489	0.7326	0.4395	0.4365	0.7781	0.0000	0.4745	0.3740	0.5573
sample21_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9995	0.0536	0.1566	1.0000	0.2684	0.1904	0.5237	0.2423	0.0536	0.0000	0.2592
sample22_group1	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9997	0.0578	0.0087	1.0000	0.3171	0.0127	0.6790	0.1060	0.4354	0.4230	0.2326
sample23_group1	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9998	0.0872	0.0059	1.0000	0.3129	0.0152	0.7086	0.3681	0.0000	0.5924	0.3840
sample24_group1	0.0000	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9997	0.0836	0.2027	0.7326	0.3727	0.1904	0.6045	0.5591	0.4692	0.6227	0.5640
sample25_group1	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9993	0.1640	0.1339	0.7326	0.4771	0.1904	0.5858	0.9364	0.6766	0.9335	0.6671
sample26_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9997	0.0662	0.0227	0.7326	0.3338	0.0279	0.5641	0.3322	0.2671	0.6584	0.7343
