Materials	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26
sample1_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.9783	1.0000
sample2_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2442	1.0000	0.0000	0.0000	0.1777	0.0000	0.5116	0.9425	0.5608	0.9410	1.0000
sample3_group1	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1221	0.9997	0.0144	0.4535	0.2280	0.0000	0.0987	0.9682	0.9178	0.9819	0.9998
sample4_group1	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3953	1.0000	0.0133	0.3605	0.4366	0.0000	0.4617	0.9480	0.8039	1.0000	0.9998
sample5_group1	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4942	0.9997	0.0047	0.3372	1.0000	0.0000	0.6677	0.9036	0.6514	0.9528	0.9999
sample6_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1919	0.9995	0.3148	0.7326	0.0949	0.3807	0.1832	0.7253	0.7336	0.7804	0.0944
sample7_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5640	0.9991	0.2212	0.7326	0.2851	0.3807	0.5287	0.1806	0.5650	0.4810	0.2820
sample8_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4128	0.9955	1.0000	0.0000	0.2217	0.1777	0.6367	0.9098	0.3253	0.9297	0.5620
sample9_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5291	0.9998	0.2949	0.7326	0.2787	0.2335	0.6120	0.2725	0.2768	0.4368	0.3796
sample10_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6628	0.9998	0.9731	0.7326	0.3294	0.2030	0.6511	0.1622	0.5501	0.4810	0.2762
sample11_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3895	0.9997	0.3427	0.7326	0.2724	0.3807	0.5729	0.1051	0.8326	0.1500	0.4244
sample12_group1	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3663	0.9993	0.3360	0.6395	0.2762	0.3934	0.5428	0.7416	0.5008	0.8684	0.4564
sample13_group1	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.9996	0.3146	0.6395	0.3738	0.4543	0.5734	0.7365	0.4973	0.8506	0.5356
sample14_group1	0.0000	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3023	0.9995	0.2373	0.3605	0.2420	0.2589	0.4908	0.8432	0.6468	0.8848	0.6486
sample15_group1	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3430	0.9997	0.2236	0.3605	0.3066	0.2995	0.4898	0.8468	0.6613	0.8824	0.4424
sample16_group1	0.0000	0.0000	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3605	0.9997	0.1726	0.3605	0.3713	0.2589	0.4708	0.8784	0.6923	0.9418	0.4125
sample17_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6279	0.9995	0.5013	0.3605	0.3966	0.5051	0.7296	0.8193	0.4759	0.8747	0.2019
sample18_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8140	0.9996	0.2761	0.3605	0.5056	0.4365	0.8247	0.8137	0.4297	0.8756	0.1923
sample19_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3023	0.9996	0.2223	0.4070	0.2344	0.2284	0.5478	0.8617	0.6197	0.8606	0.6407
sample20_group1	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7965	0.9998	0.1480	0.7326	0.4372	0.2284	0.7170	0.1220	0.3116	0.3357	0.4803
sample21_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7965	0.9996	0.2515	0.7326	0.4245	0.1777	0.7146	0.0000	0.3249	0.4410	0.7536
sample22_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6337	0.9995	0.1599	1.0000	0.3332	0.1904	0.6109	0.2647	0.0466	0.0000	0.2591
sample23_group1	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8198	0.9998	0.0060	1.0000	0.3738	0.0152	0.7620	0.3782	0.0000	0.5924	0.3840
sample24_group1	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7791	0.9997	0.2070	0.7326	0.4283	0.1904	0.6769	0.5504	0.4083	0.6227	0.5640
sample25_group1	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7267	0.9993	0.1367	0.7326	0.5234	0.1904	0.6617	0.8906	0.5887	0.9335	0.6671
sample26_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7674	0.9997	0.0232	0.7326	0.3928	0.0279	0.6440	0.3458	0.2324	0.6584	0.7343
sample27_group1	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7558	0.9961	0.0965	0.7326	0.4752	0.2208	0.6697	0.7992	0.4457	0.8579	0.6862
sample28_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4012	0.9996	0.3664	0.7326	0.2280	0.4112	0.4453	0.4288	0.8701	0.1743	0.0000
sample29_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3023	0.9995	0.2563	0.4070	0.2787	0.2386	0.6584	0.8460	0.3597	0.8493	0.4304
