     Index              y_true              y_pred        descriptor_1
         1    0.3200000000E+01    0.3004295129E+02    0.0000000000E+00
         2    0.1850000000E+02    0.3004295129E+02    0.0000000000E+00
         3    0.8872000000E+02    0.6679535698E+02   -0.1581617003E+00
         4    0.2045000000E+02    0.2276784769E+02    0.3130795751E-01
         5    0.2067000000E+02    0.1391536492E+02    0.6940406851E-01
         6    0.2078000000E+02    0.1817302304E+02    0.5108150062E-01
         7    0.5301000000E+02    0.3769912318E+02   -0.3294786125E-01
         8    0.2548000000E+02    0.3004295129E+02    0.0000000000E+00
         9    0.2817000000E+02    0.3511311717E+02   -0.2181914466E-01
        10    0.6524000000E+02    0.5879303150E+02   -0.1237241885E+00
        11    0.4537000000E+02    0.3004295129E+02    0.0000000000E+00
        12    0.1845000000E+02    0.1945825703E+02    0.4555057581E-01
        13    0.4263000000E+02    0.4580235919E+02   -0.6781963527E-01
        14    0.6056000000E+02    0.3901989231E+02   -0.3863170936E-01
        15    0.1790000000E+02    0.3705010392E+02   -0.3015484712E-01
        16    0.4216000000E+02    0.3923112942E+02   -0.3954075516E-01
        17    0.1464000000E+02    0.3836794145E+02   -0.3582607926E-01
        18    0.3120000000E+02    0.2226607603E+02    0.3346730072E-01
        19    0.1790000000E+02    0.2534871597E+02    0.2020135078E-01
        20    0.3007000000E+02    0.2756104429E+02    0.1068073297E-01
        21    0.3682000000E+02    0.3647136497E+02   -0.2766427990E-01
        22    0.5646000000E+02    0.5991401495E+02   -0.1285482713E+00
        23    0.6900000000E+02    0.7524249338E+02   -0.1945134283E+00
        24    0.7520000000E+02    0.7982786462E+02   -0.2142462893E+00
        25    0.6942000000E+02    0.6730793313E+02   -0.1603675400E+00
        26    0.6383000000E+02    0.5756908540E+02   -0.1184570123E+00
        27    0.5774000000E+02    0.5930592426E+02   -0.1259313907E+00
        28    0.2720000000E+02    0.1555806374E+02    0.6233481595E-01
        29    0.6276000000E+02    0.5944418943E+02   -0.1265264063E+00
        30    0.5060000000E+01    0.3004295129E+02    0.0000000000E+00
        31    0.5015000000E+02    0.2596933230E+02    0.1753056686E-01
        32    0.2680000000E+02    0.3004295129E+02    0.0000000000E+00
        33    0.7420000000E+02    0.7133545164E+02   -0.1776997163E+00
        34    0.6511000000E+02    0.7384505266E+02   -0.1884996288E+00
        35    0.6029000000E+02    0.5849885858E+02   -0.1224582336E+00
        36    0.4460000000E+02    0.4183027912E+02   -0.5072603483E-01
