     Index              y_true              y_pred        descriptor_1        descriptor_2
         1    0.1000000000E+00    0.2525994216E+01    0.0000000000E+00    0.0000000000E+00
         2    0.2600000000E+01    0.2525994216E+01    0.0000000000E+00    0.0000000000E+00
         3    0.4090000000E+02    0.3228496495E+02    0.3004449199E+00   -0.5206805364E-01
         4    0.1560000000E+01    0.5328447920E+01    0.2466947859E-01   -0.6278222554E-02
         5    0.4660000000E+01    0.2799750755E+01    0.1152661940E+00    0.4220322367E-01
         6    0.6650000000E+01    0.5948425111E+01    0.1291168963E+00    0.2988857692E-01
         7    0.1316000000E+02    0.6259746564E+01    0.6584334176E-01    0.4146101673E-02
         8    0.2280000000E+01    0.2525994216E+01    0.0000000000E+00    0.0000000000E+00
         9    0.3140000000E+01    0.4518612652E+01    0.1830036432E-01   -0.4175753890E-02
        10    0.2309000000E+02    0.1835021400E+02    0.1929239196E+00   -0.1510511966E-01
        11    0.1337000000E+02    0.1318423509E+02    0.1586715512E+00    0.7258167218E-03
        12    0.2141000000E+02    0.2297209339E+02    0.2153483719E+00   -0.3238739207E-01
        13    0.1128000000E+02    0.9033836981E+01    0.1002277755E+00    0.1711895968E-02
        14    0.7530000000E+01    0.9630733298E+01    0.1017857973E+00   -0.1027660749E-02
        15    0.6140000000E+01    0.7196052046E+01    0.6664047134E-01   -0.7760168409E-03
        16    0.5980000000E+01    0.5455346660E+01    0.4881671323E-01    0.2174893293E-02
        17    0.6970000000E+01    0.4783749898E+01    0.3765417129E-01    0.1687421866E-02
        18    0.4390000000E+01    0.4410251225E+01    0.2376794895E-01   -0.1496758504E-02
        19    0.3600000000E+01    0.4121253564E+01    0.2227498527E-01   -0.4505796001E-03
        20    0.4060000000E+01    0.6972345219E+01    0.9168626874E-01    0.9974366946E-02
        21    0.4810000000E+01    0.8704205973E+01    0.1142658911E+00    0.8877133941E-02
        22    0.1002000000E+02    0.1465105433E+02    0.1712089598E+00   -0.2702406445E-02
        23    0.2977000000E+02    0.3648543523E+02    0.4166150594E+00   -0.3143276259E-01
        24    0.2492000000E+02    0.2597960086E+02    0.2610705377E+00   -0.3182263867E-01
        25    0.2218000000E+02    0.2086749332E+02    0.2563822934E+00   -0.5075986660E-02
        26    0.1799000000E+02    0.2137603238E+02    0.2203684647E+00   -0.2157687586E-01
        27    0.1262000000E+02    0.1375745031E+02    0.1507812372E+00   -0.5466199047E-02
        28    0.5650000000E+01    0.5166403574E+01    0.3539143934E-01   -0.1306224362E-02
        29    0.2455000000E+02    0.2433977047E+02    0.1747808469E+00   -0.5540985561E-01
        30    0.1040000000E+01    0.2525994216E+01    0.0000000000E+00    0.0000000000E+00
        31    0.7980000000E+01    0.3898910187E+01    0.2773617798E-01    0.2862004738E-02
        32    0.4200000000E+00    0.2525994216E+01    0.0000000000E+00    0.0000000000E+00
        33    0.2347000000E+02    0.2085124832E+02    0.2823859745E+00    0.4880180704E-02
        34    0.1576000000E+02    0.1712442345E+02    0.1958050088E+00   -0.7172210740E-02
        35    0.1546000000E+02    0.1150136814E+02    0.1406046454E+00    0.3261743408E-02
        36    0.9540000000E+01    0.8466573029E+01    0.8447730037E-01   -0.1098360913E-02
