     Index              y_true              y_pred        descriptor_1
         1    0.1000000000E+00    0.4227670949E+01    0.0000000000E+00
         2    0.4090000000E+02    0.3755671208E+02   -0.2625492960E+01
         3    0.1560000000E+01    0.2767676042E+01    0.1150110000E+00
         4    0.1316000000E+02    0.1576133392E+02   -0.9085635200E+00
         5    0.2280000000E+01    0.6890960066E+01   -0.2098004200E+00
         6    0.3140000000E+01    0.4621033394E+01   -0.3098710000E-01
         7    0.2309000000E+02    0.1870149500E+02   -0.1140174510E+01
         8    0.6070000000E+01    0.3918560433E+01    0.2435016000E-01
         9    0.4360000000E+01    0.4098379057E+01    0.1018496000E-01
        10    0.1337000000E+02    0.1678998247E+02   -0.9895952400E+00
        11    0.2141000000E+02    0.1392850822E+02   -0.7641828000E+00
        12    0.1012000000E+02    0.1294577745E+02   -0.6867682500E+00
        13    0.4660000000E+01    0.5839115430E+01   -0.1269414300E+00
        14    0.1128000000E+02    0.9048653445E+01   -0.3797725700E+00
        15    0.7530000000E+01    0.1277188559E+02   -0.6730699300E+00
        16    0.5980000000E+01    0.3351021513E+01    0.6905800000E-01
        17    0.6970000000E+01    0.2862462414E+01    0.1075442100E+00
        18    0.4390000000E+01    0.4418198056E+01   -0.1500876000E-01
        19    0.3600000000E+01    0.7781472160E+01   -0.2799504500E+00
        20    0.4060000000E+01    0.3609811199E+01    0.4867186000E-01
        21    0.1925000000E+02    0.1932192066E+02   -0.1189048500E+01
        22    0.2977000000E+02    0.3279952157E+02   -0.2250745600E+01
        23    0.3366000000E+02    0.3692801969E+02   -0.2575967760E+01
        24    0.2218000000E+02    0.2819015107E+02   -0.1887642750E+01
        25    0.1799000000E+02    0.1913078587E+02   -0.1173991870E+01
        26    0.5650000000E+01    0.3535441348E+01    0.5453034000E-01
        27    0.2455000000E+02    0.2271737785E+02   -0.1456525410E+01
        28    0.1040000000E+01    0.1293971118E+02   -0.6862903800E+00
        29    0.7980000000E+01    0.3721989271E+01    0.3983504000E-01
        30    0.4200000000E+00    0.1225814102E+01    0.2364710700E+00
        31    0.3850000000E+02    0.3157454509E+02   -0.2154248160E+01
        32    0.2347000000E+02    0.2277893512E+02   -0.1461374580E+01
        33    0.1576000000E+02    0.1312457024E+02   -0.7008526400E+00
        34    0.2613000000E+02    0.2098886554E+02   -0.1320361970E+01
        35    0.1546000000E+02    0.1158948597E+02   -0.5799264800E+00
        36    0.9540000000E+01    0.6922156538E+01   -0.2122579200E+00
