Materials	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26
sample1_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1902	0.0000	0.0000	0.0000	0.0978	0.0000	0.4457	0.9735	0.6110	0.9402	1.0000
sample2_group1	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0613	0.0663	0.0141	0.4535	0.1530	0.0000	0.0000	1.0000	1.0000	0.9816	0.9998
sample3_group1	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3497	0.0000	0.0130	0.3605	0.3818	0.0000	0.3918	0.9791	0.8759	1.0000	0.9998
sample4_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4540	0.1188	0.0046	0.3372	1.0000	0.0000	0.6142	0.9333	0.7097	0.9521	0.9999
sample5_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1685	0.3947	0.0000	0.0487	0.1777	0.0367	1.0000	0.8492	0.9583	0.2284
sample6_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1350	0.2196	0.3083	0.7326	0.0070	0.3807	0.0912	0.7492	0.7993	0.7774	0.0944
sample7_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3436	0.0884	1.0000	0.7326	0.1530	0.2030	0.5145	0.7307	0.4927	0.7373	0.5742
sample8_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4908	0.1865	0.2888	0.7326	0.2086	0.2335	0.5540	0.2815	0.3015	0.4291	0.3796
sample9_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6319	0.1519	0.9532	0.7326	0.2643	0.2030	0.5963	0.1676	0.5993	0.4739	0.2762
sample10_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3436	0.0704	0.3357	0.7326	0.2017	0.3807	0.5119	0.1086	0.9071	0.1384	0.4244
sample11_group1	0.0000	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3190	0.3536	0.3291	0.6395	0.2058	0.3934	0.4794	0.7659	0.5456	0.8666	0.4564
sample12_group1	0.0000	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4601	0.3273	0.3081	0.6395	0.3129	0.4543	0.5124	0.7607	0.5419	0.8485	0.5356
sample13_group1	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5767	0.6091	0.2549	0.6395	0.4214	0.3934	0.5566	0.8214	0.5381	0.8614	0.5005
sample14_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2515	0.2099	0.2325	0.3605	0.1683	0.2589	0.4233	0.8709	0.7047	0.8832	0.6486
sample15_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3129	0.1588	0.1691	0.3605	0.3102	0.2589	0.4017	0.9073	0.7543	0.9410	0.4125
