Materials	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26
sample1_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.9752	1.0000
sample2_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2414	1.0000	0.0000	0.0000	0.1777	0.0000	0.4991	0.9425	0.5566	0.9324	1.0000
sample3_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7816	1.0000	0.0000	0.7326	0.3805	0.0000	0.6772	0.1967	0.3574	0.3083	0.4762
sample4_group1	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1207	0.9997	0.0141	0.4535	0.2280	0.0000	0.0963	0.9682	0.9170	0.9792	0.9998
sample5_group1	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3908	1.0000	0.0131	0.3605	0.4366	0.0000	0.4503	0.9480	0.8020	1.0000	0.9998
sample6_group1	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4885	0.9997	0.0046	0.3372	1.0000	0.0000	0.6513	0.9036	0.6480	0.9460	0.9999
sample7_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7356	0.9998	0.0022	0.4535	0.4058	0.0000	0.5735	0.6513	0.5338	0.8680	0.5369
sample8_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0632	0.9996	0.3947	0.0000	0.1330	0.1777	0.1295	0.9682	0.7773	0.9529	0.2284
sample9_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1897	0.9995	0.3083	0.7326	0.0949	0.3807	0.1787	0.7253	0.7310	0.7487	0.0944
sample10_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5575	0.9991	0.2167	0.7326	0.2851	0.3807	0.5157	0.1806	0.5608	0.4060	0.2820
sample11_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4080	0.9955	0.9796	0.0000	0.2217	0.1777	0.6210	0.9098	0.3188	0.9196	0.5620
sample12_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3851	0.9998	1.0000	0.7326	0.2280	0.2030	0.5612	0.7075	0.4469	0.7034	0.5742
sample13_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5230	0.9998	0.2888	0.7326	0.2787	0.2335	0.5969	0.2725	0.2698	0.3555	0.3796
sample14_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6552	0.9998	0.9532	0.7326	0.3294	0.2030	0.6351	0.1622	0.5458	0.4060	0.2762
sample15_group1	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3621	0.9993	0.3291	0.6395	0.2762	0.3934	0.5295	0.7416	0.4960	0.8494	0.4564
sample16_group1	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4943	0.9996	0.3081	0.6395	0.3738	0.4543	0.5593	0.7365	0.4925	0.8290	0.5356
sample17_group1	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6034	0.9985	0.2549	0.6395	0.4727	0.3934	0.5993	0.7952	0.4890	0.8435	0.5005
sample18_group1	0.0000	0.0000	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3563	0.9997	0.1691	0.3605	0.3713	0.2589	0.4593	0.8784	0.6893	0.9334	0.4125
sample19_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6207	0.9995	0.4911	0.3605	0.3966	0.5051	0.7117	0.8193	0.4709	0.8567	0.2019
sample20_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8046	0.9996	0.2705	0.3605	0.5056	0.4365	0.8045	0.8137	0.4242	0.8576	0.1923
sample21_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7989	0.9998	0.0180	0.7326	0.3738	0.0254	0.7533	0.1619	0.0598	0.2816	0.4913
sample22_group1	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7874	0.9998	0.1450	0.7326	0.4372	0.2284	0.6994	0.1220	0.3049	0.2398	0.4803
sample23_group1	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7874	0.9998	0.2489	0.7326	0.4892	0.4365	0.7987	0.0463	0.4072	0.2836	0.5573
sample24_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7874	0.9996	0.2464	0.7326	0.4245	0.1777	0.6971	0.0000	0.3184	0.3602	0.7536
sample25_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7931	0.9997	0.0087	1.0000	0.3776	0.0127	0.7197	0.1419	0.3728	0.3396	0.2326
sample26_group1	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7701	0.9997	0.2027	0.7326	0.4283	0.1904	0.6603	0.5504	0.4026	0.5682	0.5640
sample27_group1	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7184	0.9993	0.1339	0.7326	0.5234	0.1904	0.6455	0.8906	0.5847	0.9239	0.6671
sample28_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3161	0.9994	0.5163	0.3372	0.3840	0.8223	0.5307	0.8761	0.5982	0.8993	0.4304
sample29_group1	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7471	0.9961	0.0945	0.7326	0.4752	0.2208	0.6533	0.7992	0.4404	0.8374	0.6862
sample30_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3966	0.9996	0.3589	0.7326	0.2280	0.4112	0.4343	0.4288	0.8688	0.0551	0.0000
sample31_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2989	0.9995	0.2511	0.4070	0.2787	0.2386	0.6422	0.8460	0.3535	0.8275	0.4304
sample32_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.5747	0.9995	0.2721	0.0000	0.3561	0.5025	0.9518	0.8623	0.0000	0.8995	0.4783
sample33_group1	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6264	0.9991	0.0913	0.7326	0.3776	0.3198	0.6207	0.4523	0.6063	0.5836	0.4341
sample34_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3908	0.9995	0.2256	1.0000	0.2280	0.1878	0.5388	0.6464	0.3045	0.6876	0.5488
sample35_group1	0.0000	0.0000	0.3333	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6897	0.9997	0.3127	0.7326	0.5830	0.5838	0.6529	0.3856	0.4361	0.7548	0.4998
sample36_group1	0.0000	0.0000	0.3333	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4080	0.9994	0.2932	0.6395	0.3409	0.3909	0.5162	0.7035	0.4902	0.8356	0.5732
