Materials	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25
sample1_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.9783	1.0000
sample2_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2442	0.0000	0.0000	0.0000	0.2280	0.0000	0.5116	0.9425	0.5608	0.9410	1.0000
sample3_group1	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3953	0.0000	0.0131	0.3605	0.5601	0.0000	0.4617	0.9480	0.8039	1.0000	0.9998
sample4_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0640	0.0641	0.3947	0.0000	0.1706	0.1777	0.1327	0.9682	0.7795	0.9588	0.2284
sample5_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1919	0.0836	0.3083	0.7326	0.1218	0.3807	0.1832	0.7253	0.7336	0.7804	0.0944
sample6_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4128	0.8692	0.9796	0.0000	0.2844	0.1777	0.6367	0.9098	0.3253	0.9297	0.5620
sample7_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3895	0.0336	1.0000	0.7326	0.2926	0.2030	0.5754	0.7075	0.4522	0.7409	0.5742
sample8_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6628	0.0578	0.9532	0.7326	0.4227	0.2030	0.6511	0.1622	0.5501	0.4810	0.2762
sample9_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3895	0.0268	0.3357	0.7326	0.3495	0.3807	0.5729	0.1051	0.8326	0.1500	0.4244
sample10_group1	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3663	0.1345	0.3291	0.6395	0.3544	0.3934	0.5428	0.7416	0.5008	0.8684	0.4564
sample11_group1	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.1245	0.3081	0.6395	0.4796	0.4543	0.5734	0.7365	0.4973	0.8506	0.5356
sample12_group1	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3023	0.0799	0.2325	0.3605	0.3105	0.2589	0.4908	0.8432	0.6468	0.8848	0.6486
sample13_group1	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3430	0.0541	0.2190	0.3605	0.3934	0.2995	0.4898	0.8468	0.6613	0.8824	0.4424
sample14_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4419	0.0767	0.4680	0.3605	0.3674	0.4365	0.6033	0.8098	0.4610	0.8756	0.3630
sample15_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6279	0.1161	0.4911	0.3605	0.5089	0.5051	0.7296	0.8193	0.4759	0.8747	0.2019
sample16_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8140	0.1245	0.2705	0.3605	0.6487	0.4365	0.8247	0.8137	0.4297	0.8756	0.1923
sample17_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.3895	0.0641	0.2146	0.6395	0.2844	0.1777	0.5114	0.8190	0.5910	0.8863	0.5900
