     Index              y_true              y_pred        descriptor_1
         1    0.1000000000E+00    0.4917560733E+01    0.0000000000E+00
         2    0.2600000000E+01    0.4917560733E+01    0.0000000000E+00
         3    0.4090000000E+02    0.3215216442E+02   -0.2360517062E+00
         4    0.6650000000E+01    0.8543101541E+01   -0.3142381300E-01
         5    0.1316000000E+02    0.1178522064E+02   -0.5952437780E-01
         6    0.2280000000E+01    0.4917560733E+01    0.0000000000E+00
         7    0.3140000000E+01    0.5483616144E+01   -0.4906197538E-02
         8    0.2309000000E+02    0.1419631006E+02   -0.8042212160E-01
         9    0.6070000000E+01    0.4917560733E+01    0.0000000000E+00
        10    0.1337000000E+02    0.1159818016E+02   -0.5790323341E-01
        11    0.1012000000E+02    0.2106498952E+02   -0.1399553362E+00
        12    0.4660000000E+01    0.5529749869E+01   -0.5306054450E-02
        13    0.1128000000E+02    0.7970770161E+01   -0.2646321948E-01
        14    0.7530000000E+01    0.9906811176E+01   -0.4324355489E-01
        15    0.6140000000E+01    0.5287143425E+01   -0.3203300699E-02
        16    0.5980000000E+01    0.5365448817E+01   -0.3882000546E-02
        17    0.6970000000E+01    0.5463352369E+01   -0.4730564411E-02
        18    0.4390000000E+01    0.4731762012E+01    0.1610381619E-02
        19    0.3600000000E+01    0.4506327943E+01    0.3564296470E-02
        20    0.7350000000E+01    0.5273721193E+01   -0.3086965578E-02
        21    0.4810000000E+01    0.7851172955E+01   -0.2542662923E-01
        22    0.1925000000E+02    0.2722655961E+02   -0.1933597899E+00
        23    0.2305000000E+02    0.2751176060E+02   -0.1958317253E+00
        24    0.2977000000E+02    0.3083388515E+02   -0.2246257249E+00
        25    0.3366000000E+02    0.2550082564E+02   -0.1784022582E+00
        26    0.2492000000E+02    0.2952292413E+02   -0.2132631735E+00
        27    0.2638000000E+02    0.2228630541E+02   -0.1505409024E+00
        28    0.2218000000E+02    0.2301315187E+02   -0.1568407314E+00
        29    0.1799000000E+02    0.2242339771E+02   -0.1517291286E+00
        30    0.5650000000E+01    0.4727191494E+01    0.1649995877E-02
        31    0.1040000000E+01    0.4917560733E+01    0.0000000000E+00
        32    0.7980000000E+01    0.4492374437E+01    0.3685236318E-02
        33    0.2347000000E+02    0.2209486483E+02   -0.1488816208E+00
        34    0.1576000000E+02    0.1122932104E+02   -0.5470620412E-01
        35    0.2613000000E+02    0.2210965203E+02   -0.1490097866E+00
        36    0.9540000000E+01    0.6690139994E+01   -0.1536355600E-01
