Materials	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25
sample1_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.9783	1.0000
sample2_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2442	1.0000	0.0000	0.0000	0.0000	0.1777	0.0000	0.5116	0.9397	0.5487	0.9410	1.0000
sample3_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7907	1.0000	0.0977	0.0000	0.7326	0.3805	0.0000	0.6942	0.1577	0.3460	0.3956	0.4762
sample4_group1	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3953	1.0000	0.0000	0.0131	0.3605	0.4366	0.0000	0.4617	0.9454	0.7985	1.0000	0.9998
sample5_group1	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4942	0.9997	0.0452	0.0046	0.3372	1.0000	0.0000	0.6677	0.8989	0.6418	0.9528	0.9999
sample6_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0640	0.9996	0.0641	0.3947	0.0000	0.1330	0.1777	0.1327	0.9666	0.7734	0.9588	0.2284
sample7_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1919	0.9995	0.0836	0.3083	0.7326	0.0949	0.3807	0.1832	0.7120	0.7263	0.7804	0.0944
sample8_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5640	0.9991	0.1398	0.2167	0.7326	0.2851	0.3807	0.5287	0.1408	0.5530	0.4810	0.2820
sample9_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4128	0.9955	0.8692	0.9796	0.0000	0.2217	0.1777	0.6367	0.9054	0.3067	0.9297	0.5620
sample10_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3895	0.9998	0.0336	1.0000	0.7326	0.2280	0.2030	0.5754	0.6933	0.4372	0.7409	0.5742
