Materials	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26	feature27
sample1_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1902	1.0000	0.0000	0.0000	0.0000	0.0978	0.0000	0.4457	0.9735	0.6110	0.9410	1.0000
sample2_group1	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0613	0.9997	0.0252	0.0141	0.4535	0.1530	0.0000	0.0000	1.0000	1.0000	0.9819	0.9998
sample3_group1	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3497	1.0000	0.0000	0.0130	0.3605	0.3818	0.0000	0.3918	0.9791	0.8759	1.0000	0.9998
sample4_group1	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4540	0.9997	0.0452	0.0046	0.3372	1.0000	0.0000	0.6142	0.9333	0.7097	0.9528	0.9999
sample5_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9996	0.0641	0.3947	0.0000	0.0487	0.1777	0.0367	1.0000	0.8492	0.9588	0.2232
sample6_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1350	0.9995	0.0836	0.3083	0.7326	0.0070	0.3807	0.0912	0.7492	0.7993	0.7804	0.0882
sample7_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5276	0.9991	0.1398	0.2167	0.7326	0.2156	0.3807	0.4641	0.1865	0.6156	0.4810	0.2771
sample8_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3681	0.9955	0.8692	0.9796	0.0000	0.1460	0.1777	0.5807	0.9397	0.3544	0.9297	0.5591
sample9_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3436	0.9998	0.0336	1.0000	0.7326	0.1530	0.2030	0.5145	0.7307	0.4927	0.7409	0.5713
sample10_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6319	0.9998	0.0578	0.9532	0.7326	0.2643	0.2030	0.5963	0.1676	0.5993	0.4810	0.2713
sample11_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3436	0.9997	0.0268	0.3357	0.7326	0.2017	0.3807	0.5119	0.1086	0.9071	0.1500	0.4205
sample12_group1	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5153	0.9996	0.0972	0.2697	1.0000	0.2017	0.2208	0.6256	0.5706	0.4194	0.7115	0.3759
sample13_group1	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3190	0.9993	0.1345	0.3291	0.6395	0.2058	0.3934	0.4794	0.7659	0.5456	0.8684	0.4528
sample14_group1	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4601	0.9996	0.1245	0.3081	0.6395	0.3129	0.4543	0.5124	0.7607	0.5419	0.8506	0.5324
