Materials	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25
sample1_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.9783	1.0000
sample2_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2442	1.0000	0.0000	0.0000	0.1777	0.0000	0.5116	0.9425	0.5608	0.9410	1.0000
sample3_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7907	1.0000	0.0000	0.7326	0.3805	0.0000	0.6942	0.1967	0.3635	0.3956	0.4762
sample4_group1	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3953	1.0000	0.0131	0.3605	0.4366	0.0000	0.4617	0.9480	0.8039	1.0000	0.9998
sample5_group1	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4942	0.9997	0.0046	0.3372	1.0000	0.0000	0.6677	0.9036	0.6514	0.9528	0.9999
sample6_group1	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7442	0.9998	0.0022	0.4535	0.4058	0.0000	0.5879	0.6513	0.5382	0.8847	0.5369
sample7_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1919	0.9995	0.3083	0.7326	0.0949	0.3807	0.1832	0.7253	0.7336	0.7804	0.0944
sample8_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4128	0.9955	0.9796	0.0000	0.2217	0.1777	0.6367	0.9098	0.3253	0.9297	0.5620
sample9_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3895	0.9998	1.0000	0.7326	0.2280	0.2030	0.5754	0.7075	0.4522	0.7409	0.5742
sample10_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5291	0.9998	0.2888	0.7326	0.2787	0.2335	0.6120	0.2725	0.2768	0.4368	0.3796
sample11_group1	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3663	0.9993	0.3291	0.6395	0.2762	0.3934	0.5428	0.7416	0.5008	0.8684	0.4564
