Materials	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26
sample1_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1902	1.0000	0.0000	0.0000	0.0000	0.1001	0.0000	0.4457	0.9735	0.6110	0.9410	1.0000
sample2_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7669	1.0000	0.0977	0.0000	0.7326	0.3281	0.0000	0.6428	0.2032	0.3961	0.3956	0.4762
sample3_group1	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0613	0.9997	0.0252	0.0141	0.4535	0.1567	0.0000	0.0000	1.0000	1.0000	0.9819	0.9998
sample4_group1	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3497	1.0000	0.0000	0.0131	0.3605	0.3910	0.0000	0.3918	0.9791	0.8759	1.0000	0.9998
sample5_group1	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7178	0.9998	0.0326	0.0022	0.4535	0.3564	0.0000	0.5281	0.6727	0.5864	0.8847	0.5369
sample6_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9996	0.0641	0.3947	0.0000	0.0499	0.1867	0.0367	1.0000	0.8492	0.9588	0.2284
sample7_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1350	0.9995	0.0836	0.3083	0.7326	0.0071	0.4000	0.0912	0.7492	0.7993	0.7804	0.0944
sample8_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3681	0.9955	0.8692	0.9796	0.0000	0.1496	0.1867	0.5807	0.9397	0.3544	0.9297	0.5620
sample9_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3436	0.9998	0.0336	1.0000	0.7326	0.1567	0.2133	0.5145	0.7307	0.4927	0.7409	0.5742
sample10_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4908	0.9998	0.0709	0.2888	0.7326	0.2137	0.2453	0.5540	0.2815	0.3015	0.4368	0.3796
