     Index              y_true              y_pred        descriptor_1
         1    0.2067000000E+02    0.3840303626E+02    0.1188297000E-01
         2    0.2078000000E+02    0.2456217686E+02    0.2078528600E+00
         3    0.5301000000E+02    0.3677231980E+02    0.3497195000E-01
         4    0.2548000000E+02    0.1420848641E+02    0.3544486400E+00
         5    0.4537000000E+02    0.5498402857E+02   -0.2228839000E+00
         6    0.1845000000E+02    0.1447914645E+02    0.3506164200E+00
         7    0.4263000000E+02    0.5435397707E+02   -0.2139631300E+00
         8    0.5090000000E+02    0.4897697074E+02   -0.1378312000E+00
         9    0.1790000000E+02    0.3044697994E+02    0.1245311400E+00
        10    0.4216000000E+02    0.3867333257E+02    0.8055900000E-02
        11    0.1464000000E+02    0.3910078632E+02    0.2003670000E-02
        12    0.3187000000E+02    0.3206743705E+02    0.1015874200E+00
        13    0.3120000000E+02    0.3181533368E+02    0.1051569000E+00
        14    0.3007000000E+02    0.3728689043E+02    0.2768625000E-01
        15    0.2681000000E+02    0.3982779452E+02   -0.8289890000E-02
        16    0.2622000000E+02    0.3856111963E+02    0.9644700000E-02
        17    0.3682000000E+02    0.4056109209E+02   -0.1867250000E-01
        18    0.5646000000E+02    0.6675377738E+02   -0.3895293600E+00
        19    0.6900000000E+02    0.8991009552E+02   -0.7173949200E+00
        20    0.7520000000E+02    0.6859809818E+02   -0.4156427200E+00
        21    0.8285000000E+02    0.6058804645E+02   -0.3022300400E+00
        22    0.6942000000E+02    0.5636307955E+02   -0.2424096000E+00
        23    0.6383000000E+02    0.5208585961E+02   -0.1818493200E+00
        24    0.5774000000E+02    0.4663666988E+02   -0.1046953600E+00
        25    0.4307000000E+02    0.5106998078E+02   -0.1674657000E+00
        26    0.6276000000E+02    0.5280449139E+02   -0.1920242800E+00
        27    0.5060000000E+01    0.6884593352E+01    0.4581461400E+00
        28    0.5015000000E+02    0.3830342680E+02    0.1329332000E-01
        29    0.2680000000E+02    0.3612603810E+02    0.4412252000E-01
        30    0.9080000000E+02    0.8158429163E+02   -0.5995115700E+00
        31    0.6660000000E+02    0.5657747703E+02   -0.2454452100E+00
        32    0.5100000000E+02    0.4711200835E+02   -0.1114255800E+00
        33    0.7420000000E+02    0.6215415077E+02   -0.3244041900E+00
        34    0.6511000000E+02    0.4825702246E+02   -0.1276376000E+00
        35    0.6029000000E+02    0.7228292872E+02   -0.4678154800E+00
        36    0.4460000000E+02    0.4074705566E+02   -0.2130552000E-01
