Materials	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25
sample1_group1	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3497	0.0109	0.3605	0.3818	0.0000	0.3686	0.9791	0.9231	1.0000	0.9999
sample2_group1	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4540	0.0024	0.3372	1.0000	0.0000	0.5995	0.9333	0.7459	0.9528	1.0000
sample3_group1	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7178	0.0000	0.4535	0.3480	0.0000	0.5101	0.6727	0.6144	0.8847	0.5370
sample4_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3933	0.0000	0.0487	0.1777	0.0000	1.0000	0.8947	0.9588	0.2285
sample5_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3681	0.9796	0.0000	0.1460	0.1777	0.5647	0.9397	0.3669	0.9297	0.5621
sample6_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3436	1.0000	0.7326	0.1530	0.2030	0.4960	0.7307	0.5144	0.7409	0.5742
sample7_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4908	0.2873	0.7326	0.2086	0.2335	0.5370	0.2815	0.3105	0.4368	0.3796
sample8_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5153	0.2681	1.0000	0.2017	0.2208	0.6113	0.5706	0.4363	0.7115	0.3801
sample9_group1	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3190	0.3277	0.6395	0.2058	0.3934	0.4595	0.7659	0.5709	0.8684	0.4565
sample10_group1	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4601	0.3066	0.6395	0.3129	0.4543	0.4938	0.7607	0.5669	0.8506	0.5356
sample11_group1	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5767	0.2532	0.6395	0.4214	0.3934	0.5397	0.8214	0.5629	0.8632	0.5006
sample12_group1	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2945	0.2173	0.3605	0.2392	0.2995	0.4001	0.8746	0.7574	0.8824	0.4425
sample13_group1	0.0000	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3129	0.1673	0.3605	0.3102	0.2589	0.3789	0.9073	0.7934	0.9418	0.4125
