     Index              y_true              y_pred        descriptor_1
         1    0.1000000000E+00    0.4548054179E+01    0.2170000000E-01
         2    0.2600000000E+01    0.4713417647E+01    0.1330700000E-01
         3    0.4090000000E+02    0.2658205661E+02   -0.1096632750E+01
         4    0.4660000000E+01    0.5496122565E+01   -0.2641908000E-01
         5    0.3140000000E+01    0.1386810624E+01    0.1821484800E+00
         6    0.2309000000E+02    0.1802064094E+02   -0.6620992800E+00
         7    0.4360000000E+01    0.9332836779E+01   -0.2211509800E+00
         8    0.1337000000E+02    0.1641522075E+02   -0.5806164000E+00
         9    0.2141000000E+02    0.2182785157E+02   -0.8553337300E+00
        10    0.1012000000E+02    0.8260221901E+01   -0.1667105600E+00
        11    0.1470000000E+02    0.1774897869E+02   -0.6483111000E+00
        12    0.4660000000E+01    0.7079877048E+01   -0.1068023200E+00
        13    0.1128000000E+02    0.9049682034E+01   -0.2067795000E+00
        14    0.7530000000E+01    0.1027527103E+02   -0.2689841000E+00
        15    0.6140000000E+01    0.5194750846E+01   -0.1112300000E-01
        16    0.5980000000E+01    0.5457616303E+01   -0.2446470000E-01
        17    0.6970000000E+01    0.5384783872E+01   -0.2076810000E-01
        18    0.4390000000E+01    0.4317934352E+01    0.3337970000E-01
        19    0.3600000000E+01    0.4178658434E+01    0.4044863000E-01
        20    0.7350000000E+01    0.2357309571E+01    0.1328909400E+00
        21    0.4060000000E+01    0.5361438128E+01   -0.1958319000E-01
        22    0.4810000000E+01    0.7412912335E+01   -0.1237054800E+00
        23    0.1002000000E+02    0.2106256036E+02   -0.8164914800E+00
        24    0.2305000000E+02    0.2823694635E+02   -0.1180626450E+01
        25    0.2977000000E+02    0.2463247392E+02   -0.9976819500E+00
        26    0.3366000000E+02    0.3589425395E+02   -0.1569272040E+01
        27    0.2492000000E+02    0.3470331071E+02   -0.1508825880E+01
        28    0.2638000000E+02    0.2103711491E+02   -0.8152000000E+00
        29    0.2218000000E+02    0.2021381447E+02   -0.7734135000E+00
        30    0.1262000000E+02    0.1488251241E+02   -0.5028240000E+00
        31    0.1040000000E+01    0.8034756210E+01   -0.1552670800E+00
        32    0.7980000000E+01    0.4360593517E+01    0.3121454000E-01
        33    0.4200000000E+00   -0.2294302733E+01    0.3689828800E+00
        34    0.3850000000E+02    0.2936236346E+02   -0.1237746840E+01
        35    0.1576000000E+02    0.1395477429E+02   -0.4557367800E+00
        36    0.1546000000E+02    0.1249638199E+02   -0.3817162800E+00
