Materials	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24
sample1_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.9783	1.0000
sample2_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2414	1.0000	0.0000	0.0000	0.1777	0.0000	0.4991	0.9425	0.5608	0.9410	1.0000
sample3_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7816	1.0000	0.0000	0.7326	0.3805	0.0000	0.6772	0.1967	0.3635	0.3956	0.4727
sample4_group1	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1207	0.9997	0.0144	0.4535	0.2280	0.0000	0.0963	0.9682	0.9178	0.9819	0.9998
sample5_group1	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3908	1.0000	0.0133	0.3605	0.4366	0.0000	0.4503	0.9480	0.8039	1.0000	0.9998
sample6_group1	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4885	0.9997	0.0047	0.3372	1.0000	0.0000	0.6513	0.9036	0.6514	0.9528	0.9999
sample7_group1	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7356	0.9998	0.0022	0.4535	0.4058	0.0000	0.5735	0.6513	0.5382	0.8847	0.5338
sample8_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1897	0.9995	0.3148	0.7326	0.0949	0.3807	0.1787	0.7253	0.7336	0.7804	0.0882
sample9_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5575	0.9991	0.2212	0.7326	0.2851	0.3807	0.5157	0.1806	0.5650	0.4810	0.2771
sample10_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4080	0.9955	1.0000	0.0000	0.2217	0.1777	0.6210	0.9098	0.3253	0.9297	0.5591
sample11_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5230	0.9998	0.2949	0.7326	0.2787	0.2335	0.5969	0.2725	0.2768	0.4368	0.3754
sample12_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5460	0.9996	0.2753	1.0000	0.2724	0.2208	0.6616	0.5524	0.3850	0.7115	0.3759
sample13_group1	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3621	0.9993	0.3360	0.6395	0.2762	0.3934	0.5295	0.7416	0.5008	0.8684	0.4528
sample14_group1	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4943	0.9996	0.3146	0.6395	0.3738	0.4543	0.5593	0.7365	0.4973	0.8506	0.5324
sample15_group1	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6034	0.9985	0.2602	0.6395	0.4727	0.3934	0.5993	0.7952	0.4939	0.8632	0.4971
sample16_group1	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3391	0.9997	0.2236	0.3605	0.3066	0.2995	0.4778	0.8468	0.6613	0.8824	0.4386
sample17_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4368	0.9996	0.4777	0.3605	0.2863	0.4365	0.5885	0.8098	0.4610	0.8756	0.3586
sample18_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6207	0.9995	0.5013	0.3605	0.3966	0.5051	0.7117	0.8193	0.4759	0.8747	0.1965
sample19_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8046	0.9996	0.2761	0.3605	0.5056	0.4365	0.8045	0.8137	0.4297	0.8756	0.1868
sample20_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.2989	0.9996	0.2223	0.4070	0.2344	0.2284	0.5344	0.8617	0.6197	0.8606	0.6383
sample21_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.3851	0.9997	0.2191	0.6395	0.2217	0.1777	0.4989	0.8190	0.5910	0.8863	0.5872
sample22_group1	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7874	0.9998	0.2540	0.7326	0.4892	0.4365	0.7987	0.0463	0.4129	0.3740	0.5543
