Materials	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26
sample1_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0729	0.0000	0.7326	0.3203	0.0000	0.5621	0.2076	0.4114	0.4152	0.4763
sample2_group1	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9997	0.0189	0.0046	0.3372	1.0000	0.0000	0.5270	0.9535	0.7459	1.0000	1.0000
sample3_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9991	0.1161	0.2167	0.7326	0.2156	0.3807	0.3431	0.1905	0.6455	0.5048	0.2820
sample4_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9955	0.8656	0.9796	0.0000	0.1460	0.1777	0.4859	0.9600	0.3669	0.9758	0.5621
sample5_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9998	0.0070	1.0000	0.7326	0.1530	0.2030	0.4048	0.7466	0.5144	0.7776	0.5742
sample6_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9998	0.0454	0.2888	0.7326	0.2086	0.2335	0.4533	0.2876	0.3105	0.4584	0.3796
sample7_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9998	0.0319	0.9532	0.7326	0.2643	0.2030	0.5051	0.1712	0.6282	0.5048	0.2762
sample8_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9997	0.0000	0.3357	0.7326	0.2017	0.3807	0.4016	0.1109	0.9565	0.1574	0.4244
sample9_group1	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9996	0.0724	0.2697	1.0000	0.2017	0.2208	0.5410	0.5830	0.4363	0.7468	0.3801
sample10_group1	0.0000	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9993	0.1107	0.3291	0.6395	0.2058	0.3934	0.3618	0.7825	0.5709	0.9115	0.4565
sample11_group1	0.0000	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9996	0.1004	0.3081	0.6395	0.3129	0.4543	0.4022	0.7772	0.5669	0.8927	0.5356
