Materials	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25
sample1_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0937	0.0000	0.4457	0.9735	0.6110	0.9410	1.0000
sample2_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.7326	0.3232	0.0000	0.6428	0.2032	0.3961	0.3956	0.4762
sample3_group1	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9997	0.0144	0.4535	0.1506	0.0000	0.0000	1.0000	1.0000	0.9819	0.9998
sample4_group1	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0133	0.3605	0.3867	0.0000	0.3918	0.9791	0.8759	1.0000	0.9998
sample5_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9995	0.3148	0.7326	0.0000	0.3807	0.0912	0.7492	0.7993	0.7804	0.0944
sample6_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9955	1.0000	0.0000	0.1435	0.1777	0.5807	0.9397	0.3544	0.9297	0.5620
sample7_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9998	0.2949	0.7326	0.2080	0.2335	0.5540	0.2815	0.3015	0.4368	0.3796
sample8_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9997	0.3427	0.7326	0.2009	0.3807	0.5119	0.1086	0.9071	0.1500	0.4244
sample9_group1	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9996	0.2753	1.0000	0.2009	0.2208	0.6256	0.5706	0.4194	0.7115	0.3801
sample10_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9996	0.3146	0.6395	0.3156	0.4543	0.5124	0.7607	0.5419	0.8506	0.5356
sample11_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9985	0.2602	0.6395	0.4275	0.3934	0.5566	0.8214	0.5381	0.8632	0.5005
sample12_group1	0.0000	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9995	0.2373	0.3605	0.1664	0.2589	0.4233	0.8709	0.7047	0.8848	0.6486
sample13_group1	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9997	0.2236	0.3605	0.2396	0.2995	0.4222	0.8746	0.7205	0.8824	0.4424
sample14_group1	0.0000	0.0000	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9997	0.1726	0.3605	0.3128	0.2589	0.4017	0.9073	0.7543	0.9418	0.4125
sample15_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9996	0.4777	0.3605	0.2166	0.4365	0.5446	0.8364	0.5023	0.8756	0.3630
sample16_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9995	0.5013	0.3605	0.3415	0.5051	0.6810	0.8462	0.5185	0.8747	0.2019
sample17_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9996	0.2761	0.3605	0.4648	0.4365	0.7836	0.8405	0.4681	0.8756	0.1923
sample18_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9996	0.2223	0.4070	0.1578	0.2284	0.4848	0.8900	0.6751	0.8606	0.6407
sample19_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.9997	0.2191	0.6395	0.1435	0.1777	0.4455	0.8459	0.6439	0.8863	0.5900
sample20_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9998	0.0184	0.7326	0.3156	0.0254	0.7270	0.1672	0.0750	0.3723	0.4913
sample21_group1	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9998	0.1480	0.7326	0.3874	0.2284	0.6674	0.1261	0.3394	0.3357	0.4803
sample22_group1	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9998	0.2540	0.7326	0.4462	0.4365	0.7772	0.0478	0.4498	0.3740	0.5573
sample23_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9996	0.2515	0.7326	0.3730	0.1777	0.6648	0.0000	0.3540	0.4410	0.7536
sample24_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9995	0.1599	1.0000	0.2697	0.1904	0.5529	0.2734	0.0508	0.0000	0.2592
sample25_group1	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9997	0.0089	1.0000	0.3199	0.0127	0.6898	0.1465	0.4127	0.4230	0.2326
sample26_group1	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9998	0.0060	1.0000	0.3156	0.0152	0.7160	0.3906	0.0000	0.5924	0.3840
sample27_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9997	0.2070	0.7326	0.3773	0.1904	0.6241	0.5685	0.4448	0.6227	0.5640
sample28_group1	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9994	0.5270	0.3372	0.3271	0.8223	0.4807	0.9049	0.6560	0.9120	0.4305
sample29_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9961	0.0965	0.7326	0.4304	0.2208	0.6164	0.8255	0.4856	0.8579	0.6862
sample30_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9996	0.3664	0.7326	0.1506	0.4112	0.3741	0.4429	0.9479	0.1743	0.0000
sample31_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.9995	0.2778	0.0000	0.2956	0.5025	0.9467	0.8906	0.0104	0.9122	0.4783
sample32_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9992	0.3320	0.7326	0.2626	0.3782	0.5344	0.4545	0.5685	0.6145	0.3650
sample33_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9991	0.0932	0.7326	0.3199	0.3198	0.5803	0.4672	0.6647	0.6362	0.4341
sample34_group1	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9995	0.2303	1.0000	0.1506	0.1878	0.4897	0.6677	0.3390	0.7270	0.5488
sample35_group1	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9997	0.3192	0.7326	0.5524	0.5838	0.6159	0.3983	0.4810	0.7858	0.4998
sample36_group1	0.0000	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9994	0.2993	0.6395	0.2783	0.3909	0.4647	0.7266	0.5394	0.8563	0.5732
sample1_group2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0053	0.0000	0.2950	0.0000	0.9728	0.8926	0.0292	0.9131	0.2412
sample2_group2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9999	0.0107	0.3605	0.5879	0.0000	0.9164	0.8745	0.5824	0.8670	0.7074
sample3_group2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9995	0.1705	0.0000	0.0933	0.4112	0.4535	0.9109	0.1167	0.9178	0.0290
sample4_group2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9995	0.5382	0.7326	0.1076	0.4396	0.2781	0.3584	0.4703	0.4190	0.0825
sample5_group2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.9995	0.3570	0.7326	0.2010	0.3815	0.6221	0.7268	0.5471	0.7723	0.4225
sample6_group2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9997	0.0213	0.7326	0.3092	0.0279	0.8030	0.4725	0.1129	0.4660	0.3847
sample7_group2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9995	0.1119	0.7326	0.5722	0.0571	0.8623	0.4058	0.8420	0.1262	0.2054
sample8_group2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9995	0.8153	0.3372	0.3773	1.0000	0.6239	0.8714	0.4401	0.8971	0.2339
sample9_group2	0.0000	0.0000	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9997	0.0799	0.7326	0.3702	0.0558	0.4586	0.7657	0.7586	0.7529	0.6340
sample10_group2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9995	0.2718	0.0000	0.1937	0.2056	0.7102	0.9182	0.2207	0.9226	0.4001
sample11_group2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9997	0.1599	0.0000	0.2453	0.1777	0.8448	0.9061	0.1184	0.9144	0.2945
sample12_group2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9997	0.2878	0.7326	0.3085	0.4391	0.5699	0.4825	0.3152	0.3405	0.5316
sample13_group2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.9997	0.3411	0.9651	0.1980	0.3680	0.5437	0.5443	0.8791	0.5335	0.4178
sample14_group2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9997	0.2931	0.7326	1.0000	0.7970	1.0000	0.8071	0.3535	0.8781	0.2201
