Materials	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26	feature27
sample1_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.9964	1.0000
sample2_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8395	1.0000	0.0977	0.0000	0.7326	0.4882	0.0000	0.6942	0.1967	0.3574	0.4029	0.4762
sample3_group1	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1296	0.9997	0.0252	0.0141	0.4535	0.2926	0.0000	0.0987	0.9682	0.9170	1.0000	0.9998
sample4_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7901	0.9998	0.0326	0.0022	0.4535	0.5206	0.0000	0.5879	0.6513	0.5338	0.9010	0.5369
sample5_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0679	0.9996	0.0641	0.3947	0.0000	0.1706	0.1777	0.1327	0.9682	0.7773	0.9765	0.2284
sample6_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2037	0.9995	0.0836	0.3083	0.7326	0.1218	0.3807	0.1832	0.7253	0.7310	0.7949	0.0944
sample7_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5988	0.9991	0.1398	0.2167	0.7326	0.3658	0.3807	0.5287	0.1806	0.5608	0.4899	0.2820
sample8_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4383	0.9955	0.8692	0.9796	0.0000	0.2844	0.1777	0.6367	0.9098	0.3188	0.9469	0.5620
sample9_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4136	0.9998	0.0336	1.0000	0.7326	0.2926	0.2030	0.5754	0.7075	0.4469	0.7545	0.5742
sample10_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5617	0.9998	0.0709	0.2888	0.7326	0.3576	0.2335	0.6120	0.2725	0.2698	0.4449	0.3796
sample11_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7037	0.9998	0.0578	0.9532	0.7326	0.4227	0.2030	0.6511	0.1622	0.5458	0.4899	0.2762
sample12_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4136	0.9997	0.0268	0.3357	0.7326	0.3495	0.3807	0.5729	0.1051	0.8310	0.1528	0.4244
sample13_group1	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3889	0.9993	0.1345	0.3291	0.6395	0.3544	0.3934	0.5428	0.7416	0.4960	0.8845	0.4564
sample14_group1	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5309	0.9996	0.1245	0.3081	0.6395	0.4796	0.4543	0.5734	0.7365	0.4925	0.8663	0.5356
sample15_group1	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6481	0.9985	0.2317	0.2549	0.6395	0.6064	0.3934	0.6143	0.7952	0.4890	0.8792	0.5005
sample16_group1	0.0000	0.0000	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3642	0.9997	0.0541	0.2190	0.3605	0.3934	0.2995	0.4898	0.8468	0.6581	0.8987	0.4424
sample17_group1	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3827	0.9997	0.0604	0.1691	0.3605	0.4763	0.2589	0.4708	0.8784	0.6893	0.9592	0.4125
sample18_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4691	0.9996	0.0767	0.4680	0.3605	0.3674	0.4365	0.6033	0.8098	0.4558	0.8918	0.3630
sample19_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6667	0.9995	0.1161	0.4911	0.3605	0.5089	0.5051	0.7296	0.8193	0.4709	0.8909	0.2019
sample20_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3210	0.9996	0.0504	0.2178	0.4070	0.3007	0.2284	0.5478	0.8617	0.6160	0.8765	0.6407
sample21_group1	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8457	0.9998	0.0946	0.1450	0.7326	0.5609	0.2284	0.7170	0.1220	0.3049	0.3419	0.4803
sample22_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8457	0.9996	0.0904	0.2464	0.7326	0.5446	0.1777	0.7146	0.0000	0.3184	0.4491	0.7536
sample23_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6728	0.9995	0.0536	0.1566	1.0000	0.4275	0.1904	0.6109	0.2647	0.0374	0.0000	0.2591
sample24_group1	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8272	0.9997	0.0836	0.2027	0.7326	0.5495	0.1904	0.6769	0.5504	0.4026	0.6342	0.5640
sample25_group1	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7716	0.9993	0.1640	0.1339	0.7326	0.6715	0.1904	0.6617	0.8906	0.5847	0.9507	0.6671
sample26_group1	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3395	0.9994	0.0972	0.5163	0.3372	0.4926	0.8223	0.5440	0.8761	0.5982	0.9289	0.4304
sample27_group1	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8025	0.9961	0.3805	0.0945	0.7326	0.6097	0.2208	0.6697	0.7992	0.4404	0.8738	0.6862
sample28_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4259	0.9996	0.0736	0.3589	0.7326	0.2926	0.4112	0.4453	0.4288	0.8688	0.1776	0.0000
sample29_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3210	0.9995	0.0893	0.2511	0.4070	0.3576	0.2386	0.6584	0.8460	0.3535	0.8650	0.4304
sample30_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.6173	0.9995	0.0888	0.2721	0.0000	0.4568	0.5025	0.9758	0.8623	0.0000	0.9290	0.4783
sample31_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6975	0.9997	0.0147	0.2540	0.7326	0.4796	0.3122	0.6530	0.1494	0.1015	0.0138	0.7114
sample32_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5370	0.9998	0.1056	0.2758	1.0000	0.3625	0.2284	0.5711	0.3112	0.1204	0.1651	0.3572
sample33_group1	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5370	0.9992	0.1487	0.3252	0.7326	0.4194	0.3782	0.5938	0.4400	0.5172	0.6258	0.3650
sample34_group1	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6728	0.9991	0.1608	0.0913	0.7326	0.4845	0.3198	0.6363	0.4523	0.6063	0.6479	0.4341
sample35_group1	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4198	0.9995	0.1004	0.2256	1.0000	0.2926	0.1878	0.5523	0.6464	0.3045	0.7405	0.5488
sample36_group1	0.0000	0.0000	0.3333	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4383	0.9994	0.1576	0.2932	0.6395	0.4373	0.3909	0.5292	0.7035	0.4902	0.8721	0.5732
sample1_group2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9321	1.0000	0.0000	0.0052	0.0000	0.4562	0.0000	1.0000	0.8642	0.0174	0.9300	0.2412
sample2_group2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0988	0.9995	0.0857	0.3028	0.0000	0.1137	0.2056	0.2694	0.9476	0.6081	0.9668	0.1139
sample3_group2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2037	0.9996	0.0646	0.1932	0.0000	0.1706	0.1777	0.3960	0.9453	0.5948	0.9600	0.1338
sample4_group2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1667	0.9931	1.0000	0.6786	0.0000	0.1137	0.3553	0.2694	0.9476	0.6081	0.9668	0.1139
sample5_group2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4198	0.9995	0.1098	0.1671	0.0000	0.2275	0.4112	0.5189	0.8819	0.0985	0.9348	0.0290
sample6_group2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3889	0.9995	0.1172	0.5273	0.7326	0.2438	0.4396	0.3564	0.3470	0.4262	0.4267	0.0825
sample7_group2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.4198	0.9995	0.0867	0.3498	0.7326	0.3497	0.3815	0.6750	0.7037	0.4974	0.7865	0.4225
sample8_group2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9568	0.9995	0.1482	0.1096	0.7326	0.7704	0.0571	0.8976	0.3929	0.7707	0.1285	0.2054
sample9_group2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4938	0.9995	0.1030	0.7987	0.3372	0.5495	1.0000	0.6767	0.8437	0.3982	0.9136	0.2339
sample10_group2	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5309	0.9997	0.0462	0.0783	0.7326	0.5414	0.0558	0.5236	0.7414	0.6933	0.7668	0.6340
