Materials	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25
sample1_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000
sample2_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7816	0.0000	0.7326	0.3805	0.0000	0.6772	0.1967	0.3635	0.4044	0.4762
sample3_group1	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4885	0.0046	0.3372	1.0000	0.0000	0.6513	0.9036	0.6514	0.9739	0.9999
sample4_group1	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7356	0.0022	0.4535	0.4058	0.0000	0.5735	0.6513	0.5382	0.9043	0.5369
sample5_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0632	0.3947	0.0000	0.1330	0.1777	0.1295	0.9682	0.7795	0.9801	0.2284
sample6_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1897	0.3083	0.7326	0.0949	0.3807	0.1787	0.7253	0.7336	0.7978	0.0944
sample7_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5575	0.2167	0.7326	0.2851	0.3807	0.5157	0.1806	0.5650	0.4917	0.2820
sample8_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4080	0.9796	0.0000	0.2217	0.1777	0.6210	0.9098	0.3253	0.9504	0.5620
sample9_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3851	1.0000	0.7326	0.2280	0.2030	0.5612	0.7075	0.4522	0.7573	0.5742
sample10_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5230	0.2888	0.7326	0.2787	0.2335	0.5969	0.2725	0.2768	0.4465	0.3796
sample11_group1	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5460	0.2697	1.0000	0.2724	0.2208	0.6616	0.5524	0.3850	0.7273	0.3801
sample12_group1	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3621	0.3291	0.6395	0.2762	0.3934	0.5295	0.7416	0.5008	0.8877	0.4564
sample13_group1	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6034	0.2549	0.6395	0.4727	0.3934	0.5993	0.7952	0.4939	0.8824	0.5005
sample14_group1	0.0000	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2989	0.2325	0.3605	0.2420	0.2589	0.4788	0.8432	0.6468	0.9044	0.6486
sample15_group1	0.0000	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3391	0.2190	0.3605	0.3066	0.2995	0.4778	0.8468	0.6613	0.9019	0.4424
sample16_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8046	0.2705	0.3605	0.5056	0.4365	0.8045	0.8137	0.4297	0.8950	0.1923
sample17_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2989	0.2178	0.4070	0.2344	0.2284	0.5344	0.8617	0.6197	0.8797	0.6407
sample18_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.3851	0.2146	0.6395	0.2217	0.1777	0.4989	0.8190	0.5910	0.9059	0.5900
sample19_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7989	0.0180	0.7326	0.3738	0.0254	0.7533	0.1619	0.0688	0.3806	0.4913
sample20_group1	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7874	0.2489	0.7326	0.4892	0.4365	0.7987	0.0463	0.4129	0.3823	0.5573
sample21_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7874	0.2464	0.7326	0.4245	0.1777	0.6971	0.0000	0.3249	0.4508	0.7536
sample22_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6264	0.1566	1.0000	0.3332	0.1904	0.5960	0.2647	0.0466	0.0000	0.2591
sample23_group1	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7931	0.0087	1.0000	0.3776	0.0127	0.7197	0.1419	0.3788	0.4324	0.2326
sample24_group1	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8103	0.0059	1.0000	0.3738	0.0152	0.7433	0.3782	0.0000	0.6056	0.3840
sample25_group1	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7184	0.1339	0.7326	0.5234	0.1904	0.6455	0.8906	0.5887	0.9542	0.6671
sample26_group1	0.0000	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3161	0.5163	0.3372	0.3840	0.8223	0.5307	0.8761	0.6021	0.9323	0.4304
sample27_group1	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7471	0.0945	0.7326	0.4752	0.2208	0.6533	0.7992	0.4457	0.8769	0.6862
sample28_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3966	0.3589	0.7326	0.2280	0.4112	0.4343	0.4288	0.8701	0.1782	0.0000
sample29_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2989	0.2511	0.4070	0.2787	0.2386	0.6422	0.8460	0.3597	0.8681	0.4304
sample30_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.5747	0.2721	0.0000	0.3561	0.5025	0.9518	0.8623	0.0096	0.9324	0.4783
sample31_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.2758	1.0000	0.2825	0.2284	0.5571	0.3112	0.1288	0.1657	0.3572
sample32_group1	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.3252	0.7326	0.3269	0.3782	0.5793	0.4400	0.5218	0.6281	0.3650
sample33_group1	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6264	0.0913	0.7326	0.3776	0.3198	0.6207	0.4523	0.6101	0.6503	0.4341
sample34_group1	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3908	0.2256	1.0000	0.2280	0.1878	0.5388	0.6464	0.3112	0.7432	0.5488
sample35_group1	0.0000	0.0000	0.3333	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6897	0.3127	0.7326	0.5830	0.5838	0.6529	0.3856	0.4415	0.8032	0.4998
