     Index              y_true              y_pred        descriptor_1
         1    0.1850000000E+02    0.2832632053E+02    0.0000000000E+00
         2    0.8872000000E+02    0.7632168598E+02    0.5192131072E+00
         3    0.2078000000E+02    0.2989637441E+02    0.1698481813E-01
         4    0.5301000000E+02    0.3382901420E+02    0.5952805346E-01
         5    0.2548000000E+02    0.3176369297E+02    0.3718544088E-01
         6    0.6524000000E+02    0.5656304691E+02    0.3054644611E+00
         7    0.4537000000E+02    0.4835366590E+02    0.2166555067E+00
         8    0.1845000000E+02    0.1971637578E+02   -0.9314224666E-01
         9    0.3615000000E+02    0.2789062543E+02   -0.4713342714E-02
        10    0.5090000000E+02    0.6256835622E+02    0.3704298026E+00
        11    0.1464000000E+02    0.3733293606E+02    0.9743342492E-01
        12    0.2796000000E+02    0.2737659558E+02   -0.1027410958E-01
        13    0.3187000000E+02    0.2774677065E+02   -0.6269561480E-02
        14    0.2551000000E+02    0.2849172123E+02    0.1789302200E-02
        15    0.1790000000E+02    0.2832189635E+02   -0.4786075000E-04
        16    0.3007000000E+02    0.2696428281E+02   -0.1473450255E-01
        17    0.2681000000E+02    0.2782007917E+02   -0.5476511040E-02
        18    0.2622000000E+02    0.3311778769E+02    0.5183401626E-01
        19    0.3682000000E+02    0.5604282687E+02    0.2998367289E+00
        20    0.5646000000E+02    0.7338495678E+02    0.4874436170E+00
        21    0.7520000000E+02    0.6526885029E+02    0.3996437049E+00
        22    0.8285000000E+02    0.1009278968E+03    0.7854027083E+00
        23    0.6383000000E+02    0.5887051119E+02    0.3304265733E+00
        24    0.5774000000E+02    0.5058061930E+02    0.2407466534E+00
        25    0.4307000000E+02    0.4753473707E+02    0.2077963475E+00
        26    0.2720000000E+02    0.2666781447E+02   -0.1794169240E-01
        27    0.6276000000E+02    0.4833996735E+02    0.2165073160E+00
        28    0.5060000000E+01    0.2409407824E+02   -0.4578433043E-01
        29    0.2680000000E+02    0.2832632053E+02    0.0000000000E+00
        30    0.9080000000E+02    0.7076311395E+02    0.4590805626E+00
        31    0.6660000000E+02    0.7769526462E+02    0.5340724593E+00
        32    0.5100000000E+02    0.4344172321E+02    0.1635181880E+00
        33    0.7420000000E+02    0.6326875519E+02    0.3780067076E+00
        34    0.6511000000E+02    0.4818827105E+02    0.2148662678E+00
        35    0.6029000000E+02    0.4605660344E+02    0.1918059212E+00
        36    0.4460000000E+02    0.3211646174E+02    0.4100168791E-01
